,id_set,lang_name,sent_pos,sent
0,1,Russian,0,"Пилат _повернулся_ и пошел по мосту назад к _ступеням_, не глядя ни на что, кроме разноцветных _шашек_ настила под ногами, чтобы не оступиться.
"
1,1,Russian,1,"Он знал, что теперь у него за _спиною_ на помост градом летят бронзовые монеты, _финики_, что в воющей толпе люди, давя друг друга, лезут на плечи, чтобы увидеть своими глазами _чудо_ – как человек, который уже был в руках смерти, _вырвался_ из этих рук!
"
2,1,Russian,2,"Как легионеры снимают с него _веревки_, невольно причиняя ему жгучую боль в вывихнутых на _допросе_ руках, как он, морщась и охая, все же улыбается бессмысленной _сумасшедшей_ улыбкой.
"
3,1,Russian,3,"Он _знал_, что в это же время конвой ведет к боковым _ступеням_ троих со связанными руками, чтобы выводить их на _дорогу_, ведущую на запад, за город, к Лысой Горе.
"
4,1,Russian,4,"Лишь оказавшись за помостом, в тылу его, Пилат открыл глаза, зная, что он теперь в безопасности – _осужденных_ он видеть уже не мог.
"
5,1,Russian,5,"К стону начинавшей утихать толпы примешивались теперь и были различимы пронзительные выкрики _глашатаев_, повторявших одни на арамейском, другие на _греческом_ языках все то, что прокричал с помоста прокуратор.
"
6,1,Russian,6,"Кроме того, до слуха долетел дробный, стрекочущий и приближающийся конский топот и _труба_, что-то коротко и _весело_ прокричавшая.
"
7,1,Russian,7,"Этим звукам ответил сверлящий свист _мальчишек_ с кровель домов улицы, выводящей с базара на гипподромскую площадь, и крики «берегись!».
"
8,1,Russian,8,"_Солдат_, одиноко стоявший в очищенном пространстве площади со _значком_ в руке, тревожно взмахнул им, и тогда прокуратор, легат легиона, секретарь и конвой _остановились_.
"
9,1,Russian,9,"Кавалерийская ала, забирая все шире рыси, _вылетела_ на площадь, чтобы пересечь ее в сторонке, минуя скопище народа, и по переулку под _каменной_ стеной, по которой стлался _виноград_, кратчайшей _дорогой_ проскакать к Лысой Горе.
"
10,1,Russian,10,"Летящий рысью маленький, как _мальчик_, темный, как мулат, _командир_ алы – сириец, равняясь с Пилатом, что-то тонко выкрикнул и _выхватил_ из ножен меч.
"
11,1,Russian,11,"Злая вороная _взмокшая_ лошадь _шарахнулась_, поднялась на дыбы.
"
12,1,Russian,12,"Вбросив меч в ножны, _командир_ ударил плетью лошадь по _шее_, выровнял ее и поскакал в переулок, переходя в галоп.
"
13,1,Russian,13,"За ним по три в ряд _полетели_ всадники в _туче_ пыли, запрыгали кончики легких бамбуковых _пик_, мимо прокуратора понеслись казавшиеся особо смуглыми под белыми тюрбанами лица с _весело_ оскаленными, _сверкающими_ зубами.
"
14,1,Russian,14,"Поднимая до неба пыль, ала ворвалась в переулок, и мимо Пилата последним проскакал _солдат_ с пылающей на солнце _трубою_ за спиной.
"
15,1,Russian,15,"Закрываясь от пыли рукой и недовольно _морща_ лицо, Пилат _двинулся_ дальше, устремляясь к воротам дворцового сада, а за ним _двинулся_ легат, секретарь и конвой."
16,1,Polish,0,"Piłat _odwrócił_ się i przeszedł przez pomost w stronę _schodów_, nie patrzył na nic, śledził tylko, by się nie potknąć, różnobarwną _szachownicę_ kamyków pod nogami.
"
17,1,Polish,1,"Wiedział, że jak grad lecą teraz na pomost za jego _plecami_ brązowe monety i orzeszki _palmowe_, że w wyjącej ciżbie ludzie tratują się i włażą sobie wzajem na ramiona, byle tylko zobaczyć na własne oczy ów _cud_ – człowieka, który był już we władaniu śmierci i który _wyrwał_ się z jej rak.
"
18,1,Polish,2,"Byle tylko zobaczyć, jak legioniści zdejmują zeń _więzy_, sprawiając mu tym mimo woli dokuczliwy ból w wywichniętych w czasie _śledztwa_ rękach, jak człowiek ten, krzywiąc się i pojękując, uśmiecha się zarazem nieprzytomnym, _obłędnym_ uśmiechem.
"
19,1,Polish,3,"Piłat _wiedział_, że jednocześnie eskorta prowadzi ku bocznym _schodkom_ trzech związanych więźniów, że wyprowadzi ich za chwilę na _drogę_ wiodącą ku zachodowi, za miasto, na Nagą Górę.
"
20,1,Polish,4,"Podniósł oczy dopiero wtedy, kiedy znalazł się poza pomostem i wiedział, że nic mu już nie grozi, że nie może już zobaczyć _skazańców_.
"
21,1,Polish,5,"Do pomruków tłumu, który już się zaczął uciszać, dołączyły się przenikliwe krzyki _heroldów_, powtarzających po aramejsku i po _grecku_ to wszystko, co wykrzyczał z pomostu procurator.
"
22,1,Polish,6,"Piłat usłyszał również przybliżający się rozdygotany tupot końskich kopyt i _wesoły_, urywany głos _trąbki_.
"
23,1,Polish,7,"A potem usłyszał jeszcze przenikliwe gwizdy _chłopców_, którzy obsiedli dachy domów przy ulicy, prowadzącej od targowiska do placu przy hipodromie, i okrzyki “Uwaga...”
"
24,1,Polish,8,"Samotny _żołnierz_, który stał pośrodku pustej części placu, ostrzegawczo pomachał trzymanym w ręku _znakiem_. Procurator, legat legionu, sekretarz i żołnierze eskorty _przystanęli_.
"
